id,title,journal-ref,abstract,categories,update_date,authors_parsed,cs_categories
2502.01364,Meursault as a Data Point,,"  In an era dominated by datafication, the reduction of human experiences to
quantifiable metrics raises profound philosophical and ethical questions. This
paper explores these issues through the lens of Meursault, the protagonist of
Albert Camus' The Stranger, whose emotionally detached existence epitomizes the
existential concept of absurdity. Using natural language processing (NLP)
techniques including emotion detection (BERT), sentiment analysis (VADER), and
named entity recognition (spaCy)-this study quantifies key events and behaviors
in Meursault's life. Our analysis reveals the inherent limitations of applying
algorithmic models to complex human experiences, particularly those rooted in
existential alienation and moral ambiguity. By examining how modern AI tools
misinterpret Meursault's actions and emotions, this research underscores the
broader ethical dilemmas of reducing nuanced human narratives to data points,
challenging the foundational assumptions of our data-driven society. The
findings presented in this paper serve as a critique of the increasing reliance
on data-driven narratives and advocate for incorporating humanistic values in
artificial intelligence.
",cs.CY cs.AI cs.CL cs.DL cs.LG,2025-02-04,"[['Pratap', 'Abhinav', ''], ['Pathak', 'Amit', '']]",cs.CY cs.AI cs.CL cs.DL cs.LG
2402.15993,"Model Compression Method for S4 with Diagonal State Space Layers using
  Balanced Truncation",,"  To implement deep learning models on edge devices, model compression methods
have been widely recognized as useful. However, it remains unclear which model
compression methods are effective for Structured State Space Sequence (S4)
models incorporating Diagonal State Space (DSS) layers, tailored for processing
long-sequence data. In this paper, we propose to use the balanced truncation, a
prevalent model reduction technique in control theory, applied specifically to
DSS layers in pre-trained S4 model as a novel model compression method.
Moreover, we propose using the reduced model parameters obtained by the
balanced truncation as initial parameters of S4 models with DSS layers during
the main training process. Numerical experiments demonstrate that our trained
models combined with the balanced truncation surpass conventionally trained
models with Skew-HiPPO initialization in accuracy, even with fewer parameters.
Furthermore, our observations reveal a positive correlation: higher accuracy in
the original model consistently leads to increased accuracy in models trained
using our model compression method, suggesting that our approach effectively
leverages the strengths of the original model.
",cs.LG,2024-07-02,"[['Ezoe', 'Haruka', ''], ['Sato', 'Kazuhiro', '']]",cs.LG
2103.06799,"Towards Continual Learning for Multilingual Machine Translation via
  Vocabulary Substitution",,"  We propose a straightforward vocabulary adaptation scheme to extend the
language capacity of multilingual machine translation models, paving the way
towards efficient continual learning for multilingual machine translation. Our
approach is suitable for large-scale datasets, applies to distant languages
with unseen scripts, incurs only minor degradation on the translation
performance for the original language pairs and provides competitive
performance even in the case where we only possess monolingual data for the new
languages.
",cs.CL,2021-03-12,"[['Garcia', 'Xavier', ''], ['Constant', 'Noah', ''], ['Parikh', 'Ankur P.', ''], ['Firat', 'Orhan', '']]",cs.CL
2308.14409,"Steerable Conditional Diffusion for Out-of-Distribution Adaptation in
  Medical Image Reconstruction",,"  Denoising diffusion models have emerged as the go-to generative framework for
solving inverse problems in imaging. A critical concern regarding these models
is their performance on out-of-distribution tasks, which remains an
under-explored challenge. Using a diffusion model on an out-of-distribution
dataset, realistic reconstructions can be generated, but with hallucinating
image features that are uniquely present in the training dataset. To address
this discrepancy during train-test time and improve reconstruction accuracy, we
introduce a novel sampling framework called Steerable Conditional Diffusion.
Specifically, this framework adapts the diffusion model, concurrently with
image reconstruction, based solely on the information provided by the available
measurement. Utilising our proposed method, we achieve substantial enhancements
in out-of-distribution performance across diverse imaging modalities, advancing
the robust deployment of denoising diffusion models in real-world applications.
",cs.CV cs.LG,2025-01-29,"[['Barbano', 'Riccardo', ''], ['Denker', 'Alexander', ''], ['Chung', 'Hyungjin', ''], ['Roh', 'Tae Hoon', ''], ['Arridge', 'Simon', ''], ['Maass', 'Peter', ''], ['Jin', 'Bangti', ''], ['Ye', 'Jong Chul', '']]",cs.CV cs.LG
2407.11987,SlicerChat: Building a Local Chatbot for 3D Slicer,,"  3D Slicer is a powerful platform for 3D data visualization and analysis, but
has a significant learning curve for new users. Generative AI applications,
such as ChatGPT, have emerged as a potential method of bridging the gap between
various sources of documentation using natural language. The limited exposure
of LLM services to 3D Slicer documentation, however, means that ChatGPT and
related services tend to suffer from significant hallucination. The objective
of this project is to build a chatbot architecture, called SlicerChat, that is
optimized to answer 3D Slicer related questions and able to run locally using
an open-source model. The core research questions explored in this work revolve
around the answer quality and speed differences due to fine-tuning, model size,
and the type of domain knowledge included in the prompt. A prototype SlicerChat
system was built as a custom extension in 3D Slicer based on the Code-Llama
Instruct architecture. Models of size 1.1B, 7B and 13B were fine-tuned using
Low rank Adaptation, and various sources of 3D Slicer documentation were
compiled for use in a Retrieval Augmented Generation paradigm. Testing
combinations of fine-tuning and model sizes on a benchmark dataset of five 3D
Slicer questions revealed that fine-tuning had no impact on model performance
or speed compared to the base architecture, and that larger models performed
better with a significant speed decrease. Experiments with adding 3D Slicer
documentation to the prompt showed that Python sample code and Markdown
documentation were the most useful information to include, but that adding 3D
Slicer scene data and questions taken from Discourse also improved model
performance. In conclusion, this project shows the potential for integrating a
high quality, local chatbot directly into 3D Slicer to help new users and
experienced developers alike to more efficiently use the software.
",cs.HC cs.AI,2024-07-18,"[['Barr', 'Colton', '']]",cs.HC cs.AI
2302.14101,Robust Field-level Likelihood-free Inference with Galaxies,"Volume 952, Number 1, Year 2023, Pages 69","  We train graph neural networks to perform field-level likelihood-free
inference using galaxy catalogs from state-of-the-art hydrodynamic simulations
of the CAMELS project. Our models are rotational, translational, and
permutation invariant and do not impose any cut on scale. From galaxy catalogs
that only contain $3$D positions and radial velocities of $\sim 1, 000$
galaxies in tiny $(25~h^{-1}{\rm Mpc})^3$ volumes our models can infer the
value of $\Omega_{\rm m}$ with approximately $12$ % precision. More
importantly, by testing the models on galaxy catalogs from thousands of
hydrodynamic simulations, each having a different efficiency of supernova and
AGN feedback, run with five different codes and subgrid models - IllustrisTNG,
SIMBA, Astrid, Magneticum, SWIFT-EAGLE -, we find that our models are robust to
changes in astrophysics, subgrid physics, and subhalo/galaxy finder.
Furthermore, we test our models on $1,024$ simulations that cover a vast region
in parameter space - variations in $5$ cosmological and $23$ astrophysical
parameters - finding that the model extrapolates really well. Our results
indicate that the key to building a robust model is the use of both galaxy
positions and velocities, suggesting that the network have likely learned an
underlying physical relation that does not depend on galaxy formation and is
valid on scales larger than $\sim10~h^{-1}{\rm kpc}$.
",astro-ph.CO astro-ph.GA cs.LG,2023-07-20,"[['de Santi', 'Natalí S. M.', ''], ['Shao', 'Helen', ''], ['Villaescusa-Navarro', 'Francisco', ''], ['Abramo', 'L. Raul', ''], ['Teyssier', 'Romain', ''], ['Villanueva-Domingo', 'Pablo', ''], ['Ni', 'Yueying', ''], ['Anglés-Alcázar', 'Daniel', ''], ['Genel', 'Shy', ''], ['Hernandez-Martinez', 'Elena', ''], ['Steinwandel', 'Ulrich P.', ''], ['Lovell', 'Christopher C.', ''], ['Dolag', 'Klaus', ''], ['Castro', 'Tiago', ''], ['Vogelsberger', 'Mark', '']]",cs.LG
2308.06577,"A preconditioned Krylov subspace method for linear inverse problems with
  general-form Tikhonov regularization",,"  Tikhonov regularization is a widely used technique in solving inverse
problems that can enforce prior properties on the desired solution. In this
paper, we propose a Krylov subspace based iterative method for solving linear
inverse problems with general-form Tikhonov regularization term $x^TMx$, where
$M$ is a positive semi-definite matrix. An iterative process called the
preconditioned Golub-Kahan bidiagonalization (pGKB) is designed, which
implicitly utilizes a proper preconditioner to generate a series of solution
subspaces with desirable properties encoded by the regularizer $x^TMx$. Based
on the pGKB process, we propose an iterative regularization algorithm via
projecting the original problem onto small dimensional solution subspaces. We
analyze regularization effect of this algorithm, including the incorporation of
prior properties of the desired solution into the solution subspace and the
semi-convergence behavior of regularized solution. To overcome instabilities
caused by semi-convergence, we further propose two pGKB based hybrid
regularization algorithms. All the proposed algorithms are tested on both
small-scale and large-scale linear inverse problems. Numerical results
demonstrate that these iterative algorithms exhibit excellent performance,
outperforming other state-of-the-art algorithms in some cases.
",math.NA cs.NA,2023-08-15,"[['Li', 'Haibo', '']]",cs.NA
2404.04002,Continual Learning with Weight Interpolation,,"  Continual learning poses a fundamental challenge for modern machine learning
systems, requiring models to adapt to new tasks while retaining knowledge from
previous ones. Addressing this challenge necessitates the development of
efficient algorithms capable of learning from data streams and accumulating
knowledge over time. This paper proposes a novel approach to continual learning
utilizing the weight consolidation method. Our method, a simple yet powerful
technique, enhances robustness against catastrophic forgetting by interpolating
between old and new model weights after each novel task, effectively merging
two models to facilitate exploration of local minima emerging after arrival of
new concepts. Moreover, we demonstrate that our approach can complement
existing rehearsal-based replay approaches, improving their accuracy and
further mitigating the forgetting phenomenon. Additionally, our method provides
an intuitive mechanism for controlling the stability-plasticity trade-off.
Experimental results showcase the significant performance enhancement to
state-of-the-art experience replay algorithms the proposed weight consolidation
approach offers. Our algorithm can be downloaded from
https://github.com/jedrzejkozal/weight-interpolation-cl.
",cs.LG,2024-04-10,"[['Kozal', 'Jędrzej', ''], ['Wasilewski', 'Jan', ''], ['Krawczyk', 'Bartosz', ''], ['Woźniak', 'Michał', '']]",cs.LG
2304.01403,"Randomly Punctured Reed-Solomon Codes Achieve the List Decoding Capacity
  over Polynomial-Size Alphabets",,"  This paper shows that, with high probability, randomly punctured Reed-Solomon
codes over fields of polynomial size achieve the list decoding capacity. More
specifically, we prove that for any $\epsilon>0$ and $R\in (0,1)$, with high
probability, randomly punctured Reed-Solomon codes of block length $n$ and rate
$R$ are $\left(1-R-\epsilon, O({1}/{\epsilon})\right)$ list decodable over
alphabets of size at least $2^{\mathrm{poly}(1/\epsilon)}n^2$. This extends the
recent breakthrough of Brakensiek, Gopi, and Makam (STOC 2023) that randomly
punctured Reed-Solomon codes over fields of exponential size attain the
generalized Singleton bound of Shangguan and Tamo (STOC 2020).
",cs.IT cs.DS math.CO math.IT,2023-04-10,"[['Guo', 'Zeyu', ''], ['Zhang', 'Zihan', '']]",cs.IT cs.DS
2010.13496,Unsupervised discovery of interpretable hyperelastic constitutive laws,"Computer Methods in Applied Mechanics and Engineering, 381,
  113852, 2021","  We propose a new approach for data-driven automated discovery of isotropic
hyperelastic constitutive laws. The approach is unsupervised, i.e., it requires
no stress data but only displacement and global force data, which are
realistically available through mechanical testing and digital image
correlation techniques; it delivers interpretable models, i.e., models that are
embodied by parsimonious mathematical expressions discovered through sparse
regression of a large catalogue of candidate functions; it is one-shot, i.e.,
discovery only needs one experiment - but can use more if available. The
problem of unsupervised discovery is solved by enforcing equilibrium
constraints in the bulk and at the loaded boundary of the domain. Sparsity of
the solution is achieved by l_p regularization combined with thresholding,
which calls for a non-linear optimization scheme. The ensuing fully automated
algorithm leverages physics-based constraints for the automatic determination
of the penalty parameter in the regularization term. Using numerically
generated data including artificial noise, we demonstrate the ability of the
approach to accurately discover five hyperelastic models of different
complexity. We also show that, if a ""true"" feature is missing in the function
library, the proposed approach is able to surrogate it in such a way that the
actual response is still accurately predicted.
",cs.CE,2021-04-30,"[['Flaschel', 'Moritz', ''], ['Kumar', 'Siddhant', ''], ['De Lorenzis', 'Laura', '']]",cs.CE
